商品名	価格	在庫数	カテゴリ	メーカー	重量(g)	評価	発売日
ノートPC	128000	15	電子機器	TechCorp	1800	4.5	2024-01-15
マウス	3500	200	周辺機器	PeripheralCo	120	4.2	2023-06-01
キーボード	8900	85	周辺機器	PeripheralCo	450	4.7	2023-09-10
モニター	45000	30	電子機器	DisplayTech	5200	4.3	2024-03-20
USBケーブル	980	500	アクセサリ	CablePlus	35	3.9	2022-11-05
ウェブカメラ	6800	120	周辺機器	VisionPro	180	4.1	2023-12-01
SSD 1TB	12000	75	ストレージ	StorageMaster	50	4.8	2024-02-14
イヤホン	15000	60	オーディオ	SoundWave	25	4.6	2024-04-01
タブレット	68000	20	電子機器	TechCorp	480	4.4	2024-05-10
充電器	4500	300	アクセサリ	PowerUp	150	4.0	2023-07-22
